Variable,Description,Wave,Educational Dimension,Missing %,Leakage,Relationship with Target,Final Decision,Justification
S2ANATOMYS12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Anatomy or Physiology 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.088),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.088) (supporting evidence only, not decisive)"
S2APBIOS12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Advanced Placement (AP) Biology 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.093),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.093) (supporting evidence only, not decisive)"
S2BIO2S12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Biology II 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.069),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.069) (supporting evidence only, not decisive)"
S2BIO1S12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Biology I 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.075),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.075) (supporting evidence only, not decisive)"
S2LIFES12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Life Science 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.071),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.071) (supporting evidence only, not decisive)"
S2SSPR12,"[Are you currently taking any science, computer science or technology courses/Were you taking any science, computer science or technology courses during the spring term of 2012? 1=Yes 0=No",S2 - First follow-up student survey item (2012),Academic performance,16.67,Low,Weak (Cramer's V=0.076),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.076) (supporting evidence only, not decisive)"
S2MASSEXCL,How much do you agree or disagree with the following statements about [math course title]/math]? [You [are/were] confident that you [can/could] do an excellent job on assignments in this course. /You are confident that you can do an excellent job on math assignments.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,14.98,Low,Weak (Cramer's V=0.092),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.092) (supporting evidence only, not decisive)"
S2MBORING,How much do you agree or disagree with the following statements about [math course title]/math]? [You [think/thought] this class [is/was] boring./You think math classes are boring.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,14.87,Low,Weak (Cramer's V=0.076),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.076) (supporting evidence only, not decisive)"
S2MTESTS,How much do you agree or disagree with the following statements about [math course title]/math]? [You [are/were] confident that you [can/could] do an excellent job on tests in this course. /You are confident that you can do an excellent job on math tests.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,14.91,Low,Weak (Cramer's V=0.096),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.096) (supporting evidence only, not decisive)"
S2MSKILLS,How much do you agree or disagree with the following statements about [math course title]/math]? [You [are/were] certain that you [can/could] master the skills [being taught/that were taught] in this course./You are certain that you can master math skills.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,14.83,Low,Weak (Cramer's V=0.093),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.093) (supporting evidence only, not decisive)"
S2MWASTE,How much do you agree or disagree with the following statements about [math course title]/math]? [You [think/thought] this class [is/was] a waste of your time. /You think math classes are a waste of your time.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,14.75,Low,Weak (Cramer's V=0.084),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.084) (supporting evidence only, not decisive)"
S2MENJOYING,How much do you agree or disagree with the following statements about [math course title]/math]? [You [are enjoying/enjoyed] this class very much./You enjoy math classes very much.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,14.6,Low,Weak (Cramer's V=0.096),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.096) (supporting evidence only, not decisive)"
S2APCHEM12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Advanced Placement (AP) Chemistry 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.111),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.111) (supporting evidence only, not decisive)"
S2SCLGSUCC,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you will need it to succeed in college? 1=Yes 0=No,S2 - First follow-up student survey item (2012),Academic performance,33.59,Low,Weak (Cramer's V=0.117),Include,"Statistical association with target: Weak (Cramer's V=0.117) (supporting evidence only, not decisive)"
S2SCLGADM,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you will need it to get into college? 1=Yes 0=No,S2 - First follow-up student survey item (2012),Academic performance,33.64,Low,Weak (Cramer's V=0.078),Include,"Statistical association with target: Weak (Cramer's V=0.078) (supporting evidence only, not decisive)"
S2SHSREQ,"Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you had no choice, it is a high school requirement? 1=Yes 0=No",S2 - First follow-up student survey item (2012),Academic performance,33.47,Low,Weak (Cramer's V=0.093),Include,"Statistical association with target: Weak (Cramer's V=0.093) (supporting evidence only, not decisive)"
S2SCHALLENGE,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you like to be challenged? 1=Yes 0=No,S2 - First follow-up student survey item (2012),Academic performance,33.51,Low,Weak (Cramer's V=0.122),Include,"Statistical association with target: Weak (Cramer's V=0.122) (supporting evidence only, not decisive)"
S2SENJOYS,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you really enjoy science? 1=Yes 0=No,S2 - First follow-up student survey item (2012),Academic performance,33.44,Low,Weak (Cramer's V=0.143),Include,"Statistical association with target: Weak (Cramer's V=0.143) (supporting evidence only, not decisive)"
S2HISCIENCE12,"Of the science courses you [are currently taking/were taking during the spring term of 2012], which [is/was] the most challenging? 1=Life science 2=Biology I 3=Biology II 4=Advanced Placement (AP) Biology 5=International Baccalaureate (IB) Biology 6=Anatomy or Physiology 7=Other biological sciences such as botany, marine biology, or zoology 8=Chemistry I 9=Chemistry II 10=Advanced Placement (AP) Chemistry 11=International Baccalaureate (IB) Chemistry 12=Earth Science 13=Advanced Placement (AP) Environmental Science 14=International Baccalaureate (IB) Environmental Systems and Societies 15=Other earth or environmental sciences such as ecology, geology, oceanography or meteorology 16=Physics I 17=Physics II 18=Advanced Placement (AP) Physics B or C 19=International Baccalaureate (IB) Physics 20=Physical Science 21=Principles of Technology 22=Other physical sciences such as astronomy or electronics 23=Integrated Science I 24=Integrated Science II and above 25=General Science 32=If S2SCRSE32SP is nonmissing fill [S2SCRSE32SP] else fill ""Other science, technology, engineering, or computer science course""",S2 - First follow-up student survey item (2012),Academic performance,33.08,Low,Weak (Eta-sq=0.015),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Eta-sq=0.015) (supporting evidence only, not decisive)"
S2ENGINEER12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? An engineering course such as general engineering, robotics, aeronautical, mechanical or electrical engineering 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.097),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.097) (supporting evidence only, not decisive)"
S2OTHCOMP12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Other computer or information science course 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.080),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.080) (supporting evidence only, not decisive)"
S2APCOMPSCI12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Advanced Placement (AP) Computer Science 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.089),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.089) (supporting evidence only, not decisive)"
S2COMPPROG12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Computer Programming 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.091),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.091) (supporting evidence only, not decisive)"
S2COMPAPP12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Computer Applications 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.079),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.079) (supporting evidence only, not decisive)"
S2MTEXTBOOK,How much do you agree or disagree with the following statements about [math course title]/math]? [You [are/were] certain that you [can/could] understand the most difficult material presented in the textbook used in this course./ You are certain that you can understand the most difficult material presented in math textbooks.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,14.83,Low,Weak (Cramer's V=0.094),Include,"Statistical association with target: Weak (Cramer's V=0.094) (supporting evidence only, not decisive)"
S2INTGS2S12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Integrated Science II or above 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.070),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.070) (supporting evidence only, not decisive)"
S2INTGS1S12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Integrated Science I 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.069),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.069) (supporting evidence only, not decisive)"
S2OTHPHYS12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Other physical sciences such as astronomy or electronics 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.070),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.070) (supporting evidence only, not decisive)"
S2PHYSS12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Physical Science 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.077),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.077) (supporting evidence only, not decisive)"
S2IBPHYSIC12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? International Baccalaureate (IB) Physics 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.073),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.073) (supporting evidence only, not decisive)"
S2APPHYSIC12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Advanced Placement (AP) Physics B or C 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.090),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.090) (supporting evidence only, not decisive)"
S2PHYSIC2S12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Physics II 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.070),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.070) (supporting evidence only, not decisive)"
S2PHYSIC1S12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Physics I 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.078),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.078) (supporting evidence only, not decisive)"
S2OTHENVS12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Other earth or environmental sciences such as ecology, geology, oceanography, or meteorology 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.070),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.070) (supporting evidence only, not decisive)"
S2APENVS12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Advanced Placement (AP) Environmental Science 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.075),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.075) (supporting evidence only, not decisive)"
S2EARTHS12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Earth Science 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.075),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.075) (supporting evidence only, not decisive)"
S2GENS12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? General Science 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.070),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.070) (supporting evidence only, not decisive)"
S2INTGM112,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Integrated Math I 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.061),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.061) (supporting evidence only, not decisive)"
S2STAT12,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Other Statistics or Probability 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.056),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.056) (supporting evidence only, not decisive)"
S2APSTAT12,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Advanced Placement (AP) Statistics 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.064),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.064) (supporting evidence only, not decisive)"
S2CALC12,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Other Calculus 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.061),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.061) (supporting evidence only, not decisive)"
S2APCALC12,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Advanced Placement (AP) Calculus AB or BC 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.111),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.111) (supporting evidence only, not decisive)"
S2PRECALC12,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Pre-calculus or Analysis and Functions 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.101),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.101) (supporting evidence only, not decisive)"
S2TRIGM12,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Trigonometry 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.058),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.058) (supporting evidence only, not decisive)"
S2ANGEOM12,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Analytic Geometry 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.054),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.054) (supporting evidence only, not decisive)"
S2GEOM12,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Geometry 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.074),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.074) (supporting evidence only, not decisive)"
S2ALG3M12,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Algebra III 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.056),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.056) (supporting evidence only, not decisive)"
